application_id,submission_date,decision_date,visa_type,applicant_country,processing_office,status,processing_days,submission_month,submission_quarter,is_peak_season,country_avg_days,office_avg_days,status_binary
1,2024-02-02,2024-03-21,Work,Germany,Berlin,Denied,48,2,1,0,41.94634146341463,42.0548523206751,0.0
2,2024-10-09,2024-11-17,Student,Brazil,Tokyo,Certified,39,10,4,0,40.990338164251206,41.72289156626506,1.0
3,2024-08-26,2024-10-10,Tourist,Brazil,Mumbai,Denied,45,8,3,1,40.990338164251206,41.49626865671642,0.0
4,2024-06-09,2024-07-09,Business,India,Tokyo,Certified,30,6,2,1,41.64736842105263,41.72289156626506,1.0
5,2024-06-07,2024-07-16,Student,Germany,SaoPaulo,Certified,39,6,2,1,41.94634146341463,41.93832599118943,1.0
6,2024-11-09,2024-12-14,Work,Nepal,Berlin,Certified,35,11,4,0,41.83756345177665,42.0548523206751,1.0
7,2024-02-01,2024-02-29,Student,Nigeria,Mumbai,Certified,28,2,1,0,41.93877551020408,41.49626865671642,1.0
8,2024-09-11,2024-10-31,Work,Japan,Berlin,Denied,50,9,3,1,43.073170731707314,42.0548523206751,0.0
9,2024-03-14,2024-05-04,Business,Germany,SaoPaulo,Denied,51,3,1,0,41.94634146341463,41.93832599118943,0.0
10,2024-02-04,2024-03-08,Business,Nigeria,Delhi,Certified,33,2,1,0,41.93877551020408,42.42922374429224,1.0
11,2024-07-11,2024-08-17,Tourist,Japan,SaoPaulo,Certified,37,7,3,1,43.073170731707314,41.93832599118943,1.0
12,2024-12-22,2025-02-13,Work,Nepal,Berlin,Denied,53,12,4,1,41.83756345177665,42.0548523206751,0.0
13,2024-09-25,2024-11-22,Business,Japan,SaoPaulo,Denied,58,9,3,1,43.073170731707314,41.93832599118943,0.0
14,2024-10-04,2024-11-12,Work,Nigeria,Tokyo,Certified,39,10,4,0,41.93877551020408,41.72289156626506,1.0
15,2024-09-18,2024-11-07,Tourist,Brazil,Tokyo,Denied,50,9,3,1,40.990338164251206,41.72289156626506,0.0
16,2024-10-13,2024-12-04,Tourist,Nepal,SaoPaulo,Denied,52,10,4,0,41.83756345177665,41.93832599118943,0.0
17,2024-07-06,2024-08-12,Tourist,Germany,Delhi,Certified,37,7,3,1,41.94634146341463,42.42922374429224,1.0
18,2024-02-16,2024-03-19,Tourist,Japan,Berlin,Certified,32,2,1,0,43.073170731707314,42.0548523206751,1.0
19,2024-11-02,2024-12-08,Business,Germany,Delhi,Certified,36,11,4,0,41.94634146341463,42.42922374429224,1.0
20,2024-06-13,2024-07-31,Business,India,Mumbai,Denied,48,6,2,1,41.64736842105263,41.49626865671642,0.0
21,2024-07-01,2024-08-24,Work,Brazil,Delhi,Denied,54,7,3,1,40.990338164251206,42.42922374429224,0.0
22,2024-05-15,2024-07-02,Work,Germany,Tokyo,Denied,48,5,2,0,41.94634146341463,41.72289156626506,0.0
23,2024-03-07,2024-04-07,Business,Brazil,Tokyo,Certified,31,3,1,0,40.990338164251206,41.72289156626506,1.0
24,2024-12-04,2025-01-18,Student,Germany,Tokyo,Denied,45,12,4,1,41.94634146341463,41.72289156626506,0.0
